Latitude: 26.70661556, Longitude: 88.43518035
Latitude: 26.70666964, Longitude: 88.43503514
Latitude: 26.70635532, Longitude: 88.43487083
Latitude: 26.7063252, Longitude: 88.43516025
Latitude: 26.70737783, Longitude: 88.43524076
Latitude: 26.70726651, Longitude: 88.43562367
Latitude: 26.70728609, Longitude: 88.43588398
Latitude: 26.70730086, Longitude: 88.43610763
Latitude: 26.70731609, Longitude: 88.4364419
Latitude: 26.70510624, Longitude: 88.43537597
Latitude: 26.70592288, Longitude: 88.43585931
Latitude: 26.70657663, Longitude: 88.43604969
Latitude: 26.70683179, Longitude: 88.4361117
Latitude: 26.70685886, Longitude: 88.43559555
Latitude: 26.70487368, Longitude: 88.43523346
Latitude: 26.70443214, Longitude: 88.43413599
Latitude: 26.7055144, Longitude: 88.4353213
Latitude: 26.70564295, Longitude: 88.43525055
Latitude: 26.70592379, Longitude: 88.4351694
Latitude: 26.7061945, Longitude: 88.43517234
Latitude: 26.7057466, Longitude: 88.43483045
Latitude: 26.70536477, Longitude: 88.43494043
Latitude: 26.70726353, Longitude: 88.43725886
Latitude: 26.70736154, Longitude: 88.43718409
Latitude: 26.70734333, Longitude: 88.43701445
Latitude: 26.70737017, Longitude: 88.43776504
Latitude: 26.70769589, Longitude: 88.43722048
Latitude: 26.70684988, Longitude: 88.43728938
Latitude: 26.70654972, Longitude: 88.43730617
Latitude: 26.70596815, Longitude: 88.43736223
Latitude: 26.70546518, Longitude: 88.4373934
Latitude: 26.70682009, Longitude: 88.43701679
Latitude: 26.70681648, Longitude: 88.43679671
Latitude: 26.70681315, Longitude: 88.4362454
Latitude: 26.70638705, Longitude: 88.4365829
Latitude: 26.70386875, Longitude: 88.43779597
Latitude: 26.70340641, Longitude: 88.43790342
Latitude: 26.7030638, Longitude: 88.43847639
Latitude: 26.7031226, Longitude: 88.4380673
Latitude: 26.70253753, Longitude: 88.43799579
Latitude: 26.70247486, Longitude: 88.43747694
Latitude: 26.70380322, Longitude: 88.43824793
Latitude: 26.70292625, Longitude: 88.43894101
Latitude: 26.70402978, Longitude: 88.43736497
Latitude: 26.70490167, Longitude: 88.4372473
Latitude: 26.70526573, Longitude: 88.43740651
Latitude: 26.70324858, Longitude: 88.43642285
Latitude: 26.70274366, Longitude: 88.43623006
Latitude: 26.70533822, Longitude: 88.43885645
Latitude: 26.70487822, Longitude: 88.43887291
Latitude: 26.70486642, Longitude: 88.43869638
Latitude: 26.70459194, Longitude: 88.43837975
Latitude: 26.7041392, Longitude: 88.43840375
Latitude: 26.70546972, Longitude: 88.43927958
Latitude: 26.70387343, Longitude: 88.43896107
Latitude: 26.70728923, Longitude: 88.44004266
Latitude: 26.70658368, Longitude: 88.44048722
Latitude: 26.70661643, Longitude: 88.43950767
Latitude: 26.70638652, Longitude: 88.43845119
Latitude: 26.70655629, Longitude: 88.44106939
Latitude: 26.70601991, Longitude: 88.43934661
Latitude: 26.70607728, Longitude: 88.43858102
Latitude: 26.70772711, Longitude: 88.43975265
Latitude: 26.70834493, Longitude: 88.4394785
Latitude: 26.70849909, Longitude: 88.43985268
Latitude: 26.70794058, Longitude: 88.43993622
Latitude: 26.70816875, Longitude: 88.43907741
Latitude: 26.70766755, Longitude: 88.43912745
Latitude: 26.70748393, Longitude: 88.43901104
Latitude: 26.70798888, Longitude: 88.43601833
Latitude: 26.70781726, Longitude: 88.4360321
Latitude: 26.70780468, Longitude: 88.43581652
Latitude: 26.70795329, Longitude: 88.43556189
Latitude: 26.7079173, Longitude: 88.43513902
Latitude: 26.70750277, Longitude: 88.43496894
Latitude: 26.70800085, Longitude: 88.43664162
Latitude: 26.70805896, Longitude: 88.4374027
Latitude: 26.70806675, Longitude: 88.43777385
Latitude: 26.70853728, Longitude: 88.4374958
Latitude: 26.70834482, Longitude: 88.43674862
Latitude: 26.70843357, Longitude: 88.43736041
Latitude: 26.7087901, Longitude: 88.43730023
Latitude: 26.70678037, Longitude: 88.43386151
Latitude: 26.70629876, Longitude: 88.43391516
Latitude: 26.70568414, Longitude: 88.43393021
Latitude: 26.705101, Longitude: 88.43466767
Latitude: 26.70487183, Longitude: 88.43495994
Latitude: 26.70688789, Longitude: 88.4332902
Latitude: 26.70668405, Longitude: 88.43280859
Latitude: 26.70649535, Longitude: 88.43439929
Latitude: 26.7069427, Longitude: 88.43414616
Latitude: 26.7068822, Longitude: 88.43453004
Latitude: 26.7067007, Longitude: 88.43481772
Latitude: 26.70716855, Longitude: 88.43427757
Latitude: 26.70735415, Longitude: 88.43445763
Latitude: 26.70885744, Longitude: 88.43532768
Latitude: 26.70887601, Longitude: 88.43552481
Latitude: 26.70891704, Longitude: 88.43580141
Latitude: 26.70896036, Longitude: 88.43618499
Latitude: 26.70865966, Longitude: 88.43621357
Latitude: 26.70869744, Longitude: 88.43639133
Latitude: 26.70880649, Longitude: 88.43671475
Latitude: 26.70910678, Longitude: 88.43786207
Latitude: 26.70873802, Longitude: 88.43506818
Latitude: 26.70848815, Longitude: 88.43526287
Latitude: 26.70832555, Longitude: 88.43540359
Latitude: 26.70841452, Longitude: 88.43567704
Latitude: 26.70849467, Longitude: 88.43589306
Latitude: 26.7090852, Longitude: 88.43521252
Latitude: 26.70819888, Longitude: 88.43502392
Latitude: 26.70842223, Longitude: 88.43469283
Latitude: 26.70996889, Longitude: 88.43562037
Latitude: 26.70988052, Longitude: 88.43598366
Latitude: 26.7100225, Longitude: 88.4361548
Latitude: 26.71005455, Longitude: 88.43653734
Latitude: 26.71011498, Longitude: 88.43701412
Latitude: 26.7101617, Longitude: 88.43733867
Latitude: 26.71005174, Longitude: 88.43765175
Latitude: 26.71021837, Longitude: 88.43596369
Latitude: 26.70990488, Longitude: 88.4351217
Latitude: 26.70936301, Longitude: 88.43497391
Latitude: 26.70941786, Longitude: 88.43549947
Latitude: 26.70945318, Longitude: 88.4358544
Latitude: 26.70927849, Longitude: 88.43612209
Latitude: 26.70950811, Longitude: 88.43642542
Latitude: 26.70960126, Longitude: 88.43716592
Latitude: 26.7091594, Longitude: 88.43487315
Latitude: 26.7101408, Longitude: 88.43879443
Latitude: 26.71046436, Longitude: 88.43895803
Latitude: 26.71045883, Longitude: 88.43937128
Latitude: 26.71039698, Longitude: 88.43938614
Latitude: 26.7100851, Longitude: 88.43929567
Latitude: 26.70971746, Longitude: 88.43901977
Latitude: 26.71091818, Longitude: 88.4392803
Latitude: 26.71104088, Longitude: 88.4392974
Latitude: 26.71023694, Longitude: 88.4385319
Latitude: 26.71022436, Longitude: 88.43845479
Latitude: 26.71020699, Longitude: 88.43828112
Latitude: 26.71090657, Longitude: 88.43800466
Latitude: 26.71149506, Longitude: 88.43814198
Latitude: 26.71149391, Longitude: 88.4388545
Latitude: 26.71185603, Longitude: 88.43887608
Latitude: 26.7107527, Longitude: 88.43891639
Latitude: 26.70958343, Longitude: 88.4397094
Latitude: 26.70898941, Longitude: 88.4397855
Latitude: 26.70910566, Longitude: 88.43938326
Latitude: 26.70907327, Longitude: 88.43912524
Latitude: 26.70891934, Longitude: 88.43843774
Latitude: 26.70943306, Longitude: 88.44015621
Latitude: 26.71027348, Longitude: 88.43996221
Latitude: 26.71048586, Longitude: 88.43993286
Latitude: 26.71000303, Longitude: 88.43963831
Latitude: 26.7103035, Longitude: 88.43957496
Latitude: 26.71048775, Longitude: 88.43953432
Latitude: 26.71072445, Longitude: 88.43947212
Latitude: 26.71099259, Longitude: 88.43987875
Latitude: 26.71081583, Longitude: 88.43997013
Latitude: 26.71100125, Longitude: 88.44034301
Latitude: 26.71088791, Longitude: 88.44045386
Latitude: 26.70980266, Longitude: 88.44054557
